Piece Title,Genre,Bpm,Key,Time Signature,Mode Ionian,Duration in seconds,Instrument 1,Instrument 2,Instrument 3,Instrument 4,Instrument 5,Mood 1,Mood 2,Mood 3,Mood 4,Mood 5,Production Style,Overall Quality,TV PLACEMENT YES: TARGET
30 Melody,1,85,23,1,1,175,30,26,2,9,6,11,13,9,0,0,2,4,0
Hot Red,3,120,2,1,1,176,12,11,10,0,0,4,5,1,2,0,2,2,0
Demon,3,185,13,1,2,174,12,11,3,20,0,13,17,15,0,0,2,5,0
Sylvan Tragedy,1,55,13,1,6,173,30,6,1,29,9,18,13,0,0,0,2,3,0
Retrofunk,6,112,24,1,2,169,11,12,8,0,0,17,5,0,0,0,3,4,0
Pull the Trigger,3,102.5,20,1,6,169,28,11,20,78,0,13,16,0,0,0,6,2,0
Asymmetric War,1,150,13,1,6,169,2,23,1,7,0,3,10,16,12,0,11,3,0
Sunny Side Love,3,73,2,1,1,169,6,11,28,35,15,7,19,0,0,0,6,2,0
Sea Light,2,120,3,1,1,168,12,8,13,0,0,4,1,14,19,0,7,5,0
Bright and Shiny,4,65,4,1,1,166,11,12,14,0,0,15,1,5,0,0,2,3,0
For Amber,3,108,10,1,1,165,12,11,3,21,0,1,7,2,0,0,6,4,0
Drive Thru,3,120,6,1,1,164,12,11,21,0,0,1,2,0,0,0,10,2,0
Platinum Flow,1,72,13,3,6,164,2,6,31,0,0,8,13,0,0,0,7,5,0
Corporate Minimalism 2,1,150,3,1,1,164,6,12,10,29,38,2,15,19,0,0,17,3,0
Busy Bee,4,87,1,1,1,163,11,29,5,12,8,2,1,19,0,0,6,2,0
Agate Sculpture,1,48,3,1,1,162,2,8 4,1,5,0,2,4,6,0,0,7,4,0
Vivaldi Summer Presto,1,150,22,2,6,161,1,18,19,9,8,2,7,1,0,0,4,4,0
Spring - Japan Dreaming 16,2,120,13,1,6,160,13,12,8,0,0,4,14,9,19,0,7,4,0
Bicycle and a Parasol,1,90,13,2,6,160,6,0,0,0,0,18,11,0,0,0,5,4,0
I Got a Parking Ticket my Life is Over,1,70,20,1,6,159,12,8,1,37,10,3,10,21,0,0,2,3,0
Corporate Minimalism,8,147,6,1,1,153,12,8,6,9,29,2,15,19,0,0,17,3,0
Chocolate Chip Cookie Dough,4,115,13,1,6,149,11,12,8,40,0,5,1,2,0,0,13,4,0
Angelic Painting,1,120,6,4,1,149,2,1,41,3,38,4,2,1,6,20,5,3,0
Alone on the Sand,1,115,23,1,6,149,2,4,0,0,0,9,11,3,0,0,2,3,0
Ruminations,1,55,17,1,6,148,6,1,0,0,0,11,3,18,0,0,2,4,0
Eight Bit Simplicity,6,170,18,1,6,148,12,11,0,0,0,1,7,0,0,0,3,3,0
Mountain Refuge,1,105,4,1,6,147,2,3,6,23,0,6,13,20,11,0,7,5,0
Divine Mission,8,101,13,1,6,147,1,2,6,9,11,15,17,8,0,0,2,3,0
Going Up,4,95,22,1,6,146,12,13,2,8,0,6,3,13,0,0,6,3,0
Ready to Go,4,180,20,1,6,146,11,20,12,37,6,2,1,7,8,0,13,5,1
Cyclotron,1,110,16,1,6,145,10,12,43,0,0,16,12,21,0,0,11,4,0
Reliable Contact,4,125,13,1,6,144,11,12,8,14,0,3,9,17,0,0,13,4,1
Arierre,1,83,17,1,6,144,9,1,22,0,0,21,16,3,0,0,11,3,0
Corporate Keynote,1,102,8,1,1,142,6,12,9,0,0,7,1,6,0,0,17,3,0
Sweet Tart (Euphoria,4,115,8,1,1,142,12,20,11,12,8,7,6,0,0,0,4,4,0
Cosmic Information Party,4,140,1,1,1,140,12,11,8,0,0,1,2,7,0,0,2,3,0
Adventure Begins,1,150,D,4,5,140,2,1,23,10,0,2,15,8,5,0,3,3,0
Bird of Paradise,1,50,2,2,1,140,2,23,4,1,3,9,7,0,0,0,7,3,0
Luxe (Defining Moment),1,76,15,1,2,140,7,11,9,14,1,8,9,13,0,0,4,5,0
Grabbing Stars,6,140,22,1,6,139,12,11,0,0,0,16,12,0,0,0,3,3,0
Silicon Heart,1,115,16,1,6,138,12,1,2,10,0,3,10,12,17,0,2,4,1
Turbulence of Self,1,114,16,1,6,136,1,2,23,18,0,18,10,3,8,0,2,4,0
Epic Commitment,1,125,20,1,6,136,2,23,1,34,41,7,8,15,10,0,5,5,0
Timewaster,4,112,15,1,6,136,11,12,8,6,0,4,5,1,0,0,2,2,0
Airship Discovery,1,175,1,1,1,134,2,31,12,11,0,1,8,2,0,0,5,3,0
The Glowing Forest - The Hero,1,64,1,2,1,133,2,3,1,10,46,10,20,17,0,0,5,4,0
Skellig,1,61,6,1,2,133,2,47,1,23,0,8,13,10,0,0,5,4,0
Hermes the Hermit Crab,3,105,4,1,4,132,10,12,3,6,8,1,4,2,0,0,5,3,0
Bounce the Boss,6,87,5,1,6,132,12,11,0,0,0,5,7,0,0,0,3,3,0
A Beach Margarita,3,154,8,1,1,131,12,20,11,0,0,6,2,7,0,0,6,4,0
Our Love's Like an Apple,3,68,8,1,1,131,28,20,0,0,0,13,1,0,0,0,1,4,0
Squareliner,7,75,15,1,6,130,12,28,11,8,0,3,15,17,0,0,8,4,0
The Glowing Forest - Riding,1,64,20,2,6,130,2,3,10,46,0,10,20,17,8,0,5,3,0
Headwinds,1,95,15,1,6,130,2,1,12,8,0,3,10,8,0,0,3,4,0
Otro Narcorrido,3,130,17,1,6,130,28,12,6,21,20,3,9,11,0,0,7,2,0
Moodflower Nocturne,1,80,11,2,2,129,6,0,0,0,0,9,10,13,0,0,2,5,0
"Set Sail, Lover",1,100,5,1,1,128,38,1,2,23,0,10,18,11,3,0,2,4,0
Glass Soul,5,135,22,1,6,126,12,11,29,0,0,4,18,0,0,0,6,3,0
March to Infinity,6,124,6,3,5,125,12,11,0,0,0,8,0,0,0,0,3,3,0
You Are Victorious,6,150,3,1,1,123,11,12,8,0,0,1,2,7,0,0,3,4,0
Resolution and Wisdom,1,42,16,1,6,123,1,2,4,0,0,18,10,11,9,0,2,4,0
Minstrel's Theme,1,120,14,2,2,123,41,10,48,3,0,11,6,19,0,0,5,3,0
Puffin Passion,1,115,11,1,5,122,47,41,1,10,9,2,1,5,0,0,7,4,0
Adularescence,4,135,17,1,6,122,11,12,10,6,37,4,6,1,2,7,17,3,0
A Deep Dark Dirge,1,102,20,1,6,120,10,27,8,9,0,3,8,18,21,0,5,3,0
Subterranean Ambiance 2,1,90,8,1,3,120,6,38,1,30,0,4,6,0,0,0,7,4,0
Subterranean Ambiance 3,1,90,8,1,3,119,6,38,1,30,0,4,6,0,0,0,7,4,0
Birds,1,74,8,1,4,116,41,2,1,30,0,2,7,1,0,0,7,4,0
Nepenthes,7,80,7,1,1,116,28,49,11,8,0,2,1,7,0,0,13,4,0
Prisoner of Love - Obsession,1,130,20,1,6,112,1,2,24,10,0,15,17,8,12,10,2,4,0
Wicked Gambit,1,85,15,1,6,112,2,1,12,8,0,16,10,0,0,0,11,4,0
Adagvng,5,113,15,1,6,112,11,12,6,8,0,3,16,10,0,0,13,3,0
Lime Lacroix,1,150,18,1,6,110,23,9,11,1,0,16,17,8,3,9,11,4,0
Deep Melancholy,1,115,23,1,6,108,6,9,1,2,0,18,11,0,0,0,2,3,0
Arise,4,145,20,1,6,108,11,8,12,23,0,15,17,7,0,0,18,3,0
Electrum,1,148,7,1,1,108,6,11,12,1,0,1,7,15,0,0,17,4,0
